ENTRY NAME,CODE,PUBLICATION,WEBSERVER,LINK,FOLDER1,CATEGORY1,SUBCATEGORY1,SUBSUBCATEGORY1,DESCRIPTION,GITHUB_STARS,LAST_COMMIT,LAST_COMMIT_AGO,LICENSE,CITATIONS,JOURNAL,JIF,PAGE_ICON,TAGS
PocketLG,https://github.com/NENUBioCompute/PocketLG,https://doi.org/10.1109/BIBM62325.2024.10821813,,,Protein Structure,Binding Site Prediction,,,Protein Binding Pocket Identification Using Protein Language Model and Graph Transformer,1,2024-09-21T13:14:26.000Z,4 months ago,,0,2024 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),4.4,simple/authelia,binding site prediction
PocketQuery,,https://doi.org/10.1093/nar/gks336,http://pocketquery.csb.pitt.edu/upload.html,,Protein Structure,Binding Site Prediction,,,energy-based (online),,,,,73,Nucleic Acids Research,16.6,simple/authelia,binding site prediction
PocketVec,,https://doi.org/10.1038/s41467-024-52146-3,,https://gitlabsbnb.irbbarcelona.org/acomajuncosa/pocketvec,Protein Structure,Binding Site Prediction,,,Comprehensive detection and characterization of human druggable pockets through binding site descriptors,,,,,2,Nature Communications,14.7,simple/authelia,"binding site prediction, binding site druggability"
PointSite,https://github.com/PointSite/PointSite,https://doi.org/10.1021/acs.jcim.1c01512,,,Protein Structure,Binding Site Prediction,,,a point cloud segmentation tool for identification of protein ligand binding atoms (standalone),55,2020-04-13T22:02:45.000Z,58 months ago,,40,Journal of Chemical Information and Modeling,5.6,simple/authelia,binding site prediction
PrankWeb 3,,https://doi.org/10.1093/nar/gkz424,,https://prankweb.cz/,Protein Structure,Binding Site Prediction,,,accelerated ligand-binding site predictions for experimental and modelled protein structures (online),,,,,275,Nucleic Acids Research,16.6,simple/authelia,"binding site prediction, webserver"
ProteinPocketDetection,https://github.com/rdzhao/PPD,,,,Protein Structure,Binding Site Prediction,,,Protein pocket detection via convex hull surface evolution and associated Reeb graph (standalone),9,2018-05-29T20:00:54.000Z,80 months ago,,,,,simple/authelia,binding site prediction
PUResNet,https://github.com/jivankandel/PUResNet,https://doi.org/10.1186/s13321-021-00547-7,https://nsclbio.jbnu.ac.kr/tools/jmol,,Protein Structure,Binding Site Prediction,,,Predicting protein-ligand binding sites using deep convolutional neural network (binding pocket) (standalone),48,2024-09-23T04:17:12.000Z,3 months ago,,75,Journal of Cheminformatics,7.1,simple/authelia,binding site prediction
PUResNetV2.0,https://github.com/jivankandel/PUResNetV2.0,https://doi.org/10.1186/s13321-024-00865-6,https://nsclbio.jbnu.ac.kr/tools/jmol/docs,,Protein Structure,Binding Site Prediction,,,state-of-the-art deep learning model designed to predict ligand binding sites in protein structures.,14,2024-06-08T11:40:34.000Z,7 months ago,,2,Journal of Cheminformatics,7.1,simple/authelia,binding site prediction
pyKVFinder,https://github.com/LBC-LNBio/pyKVFinder,https://doi.org/10.1186/s12859-021-04519-4,,,Protein Structure,Binding Site Prediction,,,Python package for biomolecular cavity detection and characterization in data science (standalone),24,2025-03-07T21:25:33.000Z,0 months ago,,20,BMC Bioinformatics,2.9,simple/authelia,binding site prediction
PyVOL,,https://doi.org/10.1101/816702,,https://schlessinger-lab.github.io/pyvol/introduction.html,Protein Structure,Binding Site Prediction,,,"python library packaged into a PyMOL GUI for identifying protein binding pockets, find volume, also via python command line (standalone)",,,,,35,,,simple/authelia,"binding site prediction, plugin, pymol"
RAPID-Net,https://github.com/BalytskyiJaroslaw/RAPID-Net,https://doi.org/10.20944/preprints202502.0352,,,Protein Structure,Binding Site Prediction,,,Deep Learning model for accurate protein-ligand pocket identification,1,2025-03-14T01:06:53.000Z,,,0,,,simple/authelia,binding site prediction
SGPocket,https://github.com/KevinCrp/SGPocket,https://doi.org/10.2174/0109298673289137240304165758,,,Protein Structure,Binding Site Prediction,,,A Graph Convolutional Neural Network to predict protein binding site.,0,2023-11-17T13:56:40.000Z,14 months ago,,1,Current Medicinal Chemistry,3.5,simple/authelia,binding site prediction
SiteFerret,https://github.com/concept-lab/SiteFerret,https://doi.org/10.1371/journal.pone.0059744,,,Protein Structure,Binding Site Prediction,,,beyond simple pocket identification in proteins (standalone),11,2023-03-22T14:02:17.000Z,22 months ago,,101,PLoS ONE,2.9,simple/authelia,binding site prediction
SiteHound-web,,https://doi.org/10.1093%2Fnar%2Fgkp281,http://scbx.mssm.edu/sitehound/sitehound-web/Input.html,,Protein Structure,Binding Site Prediction,,,energy-based (send chemical probes) (online),,,,,165,Nucleic Acids Research,16.6,simple/authelia,"binding site prediction, webserver"
SplitPocket,,https://doi.org/10.1093/nar/gkp308,http://pocket.med.wayne.edu/patch/,,Protein Structure,Binding Site Prediction,,,geometry-based (online),,,,,31,Nucleic Acids Research,16.6,simple/authelia,binding site prediction
IsoMIF,https://github.com/NRGlab/IsoMif,https://doi.org/10.1021/acs.jcim.5b00333,,,Protein Structure,Binding Site Similarity,,,Detection of Binding Site Molecular Interaction Field Similarities,8,2015-03-11T17:08:34.000Z,120 months ago,,43,Journal of Chemical Information and Modeling,5.6,simple/authelia,binding site similarity
PDBspheres,https://github.com/LLNL/PDBspheres,https://doi.org/10.1093/nargab/lqac078,,,Protein Structure,Binding Site Similarity,,,a method for finding 3D similarities in local regions in proteins (pocket similarity) (standalone),7,2022-08-01T19:07:36.000Z,30 months ago,,7,NAR Genomics and Bioinformatics,4,simple/authelia,binding site similarity
SiteMine,,https://doi.org/10.1002/ardp.202300661,,https://uhh.de/naomi,Protein Structure,Binding Site Similarity,,,"Large-scale binding site similarity searching in protein structure databases (online), 2024.",,,,,4,Archiv der Pharmazie,4.3,simple/authelia,binding site similarity
EnsembleFlex,https://gitlab.ebi.ac.uk/melanie/ensembleflex,https://doi.org/10.1101/2024.12.21.629432,,https://bio.tools/ensembleflex,Protein Structure,Conformational Ensemble Analysis,,,Protein Structure Ensemble Analysis Made Easy,,,,,0,,,material/cog-box,conformational ensemble analysis
protein-cluster-conformers,https://github.com/PDBeurope/protein-cluster-conformers,,,,Protein Structure,Conformational Ensemble Generation,Conformation Clustering,,used to cluster a parsed set of monomeric protein chains via a global conformational change metric based on CA distances.,13,2025-01-27T14:59:59.000Z,2 months ago,,,,,material/set-split,"conformation clustering, conformational ensemble analysis"
SIENA,,https://doi.org/10.1021/acs.jcim.5b00588,https://proteins.plus/,https://www.zbh.uni-hamburg.de/en/forschung/amd/software/siena.html,Protein Structure,Conformational Ensemble Generation,From PDB,,automated construction of protein structure ensembles from the PDB,,,,,42,Journal of Chemical Information and Modeling,5.6,material/set-split,conformational ensemble generation
MDSubSampler,https://github.com/alepandini/MDSubSampler,https://doi.org/10.1093/bioinformatics/btad427,,,Protein Structure,Conformational Ensemble Generation,MD,,a posteriori sampling of important protein conformations from biomolecular simulations (standalone),8,2024-07-24T08:19:54.000Z,6 months ago,,1,Bioinformatics,4.4,material/set-split,"conformational ensemble generation, molecular dynamics (MD)"
SubPEx,https://github.com/durrantlab/subpex/,https://doi.org/10.1021%2Facs.jctc.3c00478,,http://durrantlab.com/subpex/,Protein Structure,Conformational Ensemble Generation,MD,,"Worth the Weight: Sub-Pocket EXplorer (SubPEx), a Weighted Ensemble Method to Enhance Binding-Pocket Conformational Sampling",15,2024-05-22T16:49:03.000Z,8 months ago,,3,Journal of Chemical Theory and Computation,5.7,material/set-split,"conformational ensemble generation, molecular dynamics (MD)"
AlphaFold-Metainference,https://github.com/vendruscolo-lab/AlphaFold-IDP,https://doi.org/10.1101/2024.11.09.622758,,,Protein Structure,Conformational Ensemble Generation,ML,Disordered Proteins,Prediction of Structural Ensembles of Disordered Proteins,13,2024-12-11T18:17:10.000Z,1 months ago,,0,,,material/set-split,"conformational ensemble generation, disordered protein"
AF2-Rave,https://github.com/tiwarylab/alphafold2rave,https://doi.org/10.1021/acs.jctc.3c00290,,,Protein Structure,Conformational Ensemble Generation,ML,,"AF2-Rave combines AlphaFold2 with enhanced sampling to predict a range of conformations for a given protein sequence, aiming to generate Boltzmann-ranked conformations",69,2024-07-03T05:54:39.000Z,6 months ago,,56,Journal of Chemical Theory and Computation,5.7,material/set-split,"conformational ensemble generation, ml+ai"
AF-cluster,https://github.com/HWaymentSteele/AF_Cluster,https://doi.org/10.1101/2022.10.17.512570,,,Protein Structure,Conformational Ensemble Generation,ML,,"This method predicts multiple protein conformations using sequence clustering and AlphaFold2, aiming to capture the diversity of protein structures.",149,2025-02-27T16:13:37.000Z,4 months ago,,0,,,material/set-split,"conformational ensemble generation, ml+ai"
AFsample2,https://github.com/iamysk/AFsample2,https://doi.org/10.1101/2024.05.28.596195,,,Protein Structure,Conformational Ensemble Generation,ML,,a method employing random MSA column masking to reduce the influence of co-evolutionary signals to enhance the structural diversity of models generated by the AF2 neural network,45,2025-03-11T11:46:30.000Z,0 months ago,,12,,,material/set-split,"conformational ensemble generation, ml+ai"
AI2BMD,https://github.com/microsoft/AI2BMD,https://doi.org/10.1038/s41586-024-08127-z,,,Protein Structure,Conformational Ensemble Generation,ML,,Ab initio characterization of protein molecular dynamics,473,2025-02-18T07:34:37.000Z,,,11,Nature,50.5,material/set-split,"conformational ensemble generation, ml+ai"
AlphaFlow,https://github.com/bjing2016/alphaflow,https://doi.org/10.1021/acs.jcim.4c00309.s001,,,Protein Structure,Conformational Ensemble Generation,ML,,AlphaFold Meets Flow Matching for Generating Protein Ensembles. (Note: There is a preprint challenging the claims in the AF-Cluster paper. You can read it **[here](https://doi.org/10.1101/2024.01.05.574434)**.),422,2025-01-08T19:03:41.000Z,0 months ago,,0,,,material/set-split,"conformational ensemble generation, ml+ai"
BioEmu,,https://doi.org/10.1101/2024.12.05.626885,,,Protein Structure,Conformational Ensemble Generation,ML,,,,,,,7,,,material/set-split,"conformational ensemble generation, ml+ai"
DeepConformer,,https://doi.org/10.1101/2024.06.27.600251,,,Protein Structure,Conformational Ensemble Generation,ML,,diffusion generative model for sampling protein conformation distributions from a given amino acid sequence,,,,,1,,,material/set-split,"conformational ensemble generation, ml+ai"
DiG,https://doi.org/10.5281/zenodo.10911143,https://doi.org/10.1038/s42256-024-00837-3,,https://distributionalgraphormer.github.io/,Protein Structure,Conformational Ensemble Generation,ML,,Predicting equilibrium distributions for molecular systems with deep learning,,,,,30,Nature Machine Intelligence,18.8,material/set-split,"conformational ensemble generation, ml+ai"
EGDiff,,https://doi.org/10.1101/2024.10.04.616517,,,Protein Structure,Conformational Ensemble Generation,ML,,ExEnDiff: An Experiment-guided Diffusion model for protein conformational Ensemble generation,,,,,0,,,material/set-split,"conformational ensemble generation, ml+ai"
ExEnDiff,https://github.com/flatironinstitute/ExEnDiff,https://doi.org/10.1101/2024.10.04.616517,,,Protein Structure,Conformational Ensemble Generation,ML,,experiment-guided diffusion model for protein conformation generation,3,2024-10-29T17:04:31.000Z,2 months ago,,0,,,material/set-split,"conformational ensemble generation, ml+ai"
ICoN,https://github.com/chang-group/ICoN,https://doi.org/10.21203/rs.3.rs-4301803,,,Protein Structure,Conformational Ensemble Generation,"ML, Other",,Sampling Conformational Ensembles of Highly Dynamic Proteins via Generative Deep Learning,9,2025-01-31T19:30:30.000Z,7 months ago,,0,,,material/set-split,"conformational ensemble generation, ml+ai"
ipdGAN,https://github.com/feiglab/idpgan,https://doi.org/10.1038/s41467-023-36443-x,,,Protein Structure,Conformational Ensemble Generation,ML,,Direct generation of protein conformational ensembles via machine learning,47,2025-01-02T20:15:18.000Z,,,89,Nature Communications,14.7,material/set-split,"conformational ensemble generation, ml+ai"
Str2Str,https://github.com/lujiarui/Str2Str,https://doi.org/10.1126/science.ade2574,,,Protein Structure,Conformational Ensemble Generation,ML,,"Str2Str is a score-based framework for zero-shot protein conformation sampling, drawing inspiration from traditional methods to sample conformations guided by a neural score network trained on the PDB database.",71,2024-03-07T15:34:45.000Z,10 months ago,,1980,Science,44.7,material/set-split,"conformational ensemble generation, ml+ai"
AlphTraj,https://github.com/dooo12332/AlphaTraj,https://doi.org/10.1021/acs.jctc.4c00476,,,Protein Structure,Conformational Ensemble Generation,Other,,AlphaTraj is software designed for analyzing pocket dynamics.,12,2025-01-14T13:08:24.000Z,0 months ago,,0,Journal of Chemical Theory and Computation,5.7,material/set-split,"conformational ensemble generation, ml+ai"
DANCE,https://github.com/PhyloSofS-Team/DANCE,https://doi.org/10.1038/s41597-024-03524-5,,,Protein Structure,Conformational Ensemble Generation,Other,,DANCE is designed to process a set of input protein 3D structures provided in Crystallographic Information File (CIF) format and output protein or protein family-specific conformational collections in CIF or PDB format.,8,2024-10-08T15:02:08.000Z,3 months ago,,4,Scientific Data,5.8,material/set-split,conformational ensemble generation
EnGens,https://github.com/KavrakiLab/EnGens,https://doi.org/10.1093/bib/bbad242,,,Protein Structure,Conformational Ensemble Generation,Other,,a computational framework for generation andanalysis of representative protein conformationalensembles (online),9,2024-11-22T16:37:34.000Z,1 months ago,,12,Briefings in Bioinformatics,6.8,material/set-split,conformational ensemble generation
ESMAdam,https://github.com/Harrydirk41/ESMAdam,https://doi.org/10.1101/2025.01.19.633818,,,Protein Structure,Conformational Ensemble Generation,Other,,plug-and-play all-purpose protein ensemble generator,0,2025-01-31T05:08:27.000Z,,,0,,,material/set-split,conformational ensemble generation
GMdSilva,https://github.com/GMdSilva/gms_natcomms_1705932980_data,https://doi.org/10.1016/j.bpj.2023.11.1283,,,Protein Structure,Conformational Ensemble Generation,Other,,Predicting Relative Populations of Protein Conformations without a Physics Engine Using AlphaFold2,39,2024-05-15T21:10:51.000Z,8 months ago,,1,Biophysical Journal,3.2,material/set-split,"conformational ensemble generation, ml+ai"
SMA-MD,https://github.com/olsson-group/sma-md,https://doi.org/10.1088/2632-2153/ad3b64,,,Protein Structure,Conformational Ensemble Generation,Other,,Generation of conformational ensembles of small molecules via surrogate model-assisted molecular dynamics,3,2024-04-30T13:48:02.000Z,8 months ago,,2,Machine Learning: Science and Technology,6.3,material/set-split,conformer generation
PDBminer,https://github.com/ELELAB/PDBminer,https://doi.org/10.1021/acs.jcim.3c00884.s001,,,Protein Structure,Databases,Data Mining,,PDBminer to Find and Annotate Protein Structures for Computational Analysis,31,2025-02-19T12:30:21.000Z,0 months ago,,0,,,material/database,"data mining, PDB"
Viro3D,,https://doi.org/10.1101/2024.12.19.629443,https://viro3d.cvr.gla.ac.uk/,,Protein Structure,Databases,Databases,Viruses,,,,,,0,,,material/database,"database, viruses"
EMDB,,https://doi.org/10.1093/nar/gkad1019,https://www.ebi.ac.uk/emdb/,,Protein Structure,Databases,Databases,,Electron Microscopy Data Bank,,,,,46,Nucleic Acids Research,16.6,material/database,"protein structure, database"
PDBe,,https://doi.org/10.1093/nar/gkz990,https://www.ebi.ac.uk/pdbe,,Protein Structure,Databases,Databases,,PDBe: improved findability of macromolecular structure data in the PDB,,,,,45,Nucleic Acids Research,16.6,material/database,"protein structure, database"
HHpred,,https://doi.org/10.1093%2Fnar%2Fgki408,https://toolkit.tuebingen.mpg.de/#/tools/hhpred,,Protein Structure,Homology Modelling,,,homology and structure prediction (online),,,,,3086,Nucleic Acids Research,16.6,material/approximately-equal,"homology modelling, webserver"
HOMELETTE,https://github.com/PhilippJunk/homelette,https://doi.org/10.1093/bioinformatics/btab866,,,Protein Structure,Homology Modelling,,,a unified interface to homology modelling software (standalone),10,2023-09-27T22:14:43.000Z,16 months ago,,5,Bioinformatics,4.4,material/approximately-equal,homology modelling
Phyre2,,https://doi.org/10.1038%2Fnprot.2015.053,http://www.sbg.bio.ic.ac.uk/phyre2/html/page.cgi?id=index,,Protein Structure,Homology Modelling,,,"Phyre2 is a tool for predicting and analyzing protein structure, function, and mutations. The server provides an expert mode for registered users and integrates models directly from the AlphaFold Protein Structure Database for one-to-one threading.",,,,,8432,Nature Protocols,13.1,material/approximately-equal,"homology modelling, webserver"
SWISS-MODEL,,https://doi.org/10.1093/nar/gky427,http://swissmodel.expasy.org/,,Protein Structure,Homology Modelling,,,"an automated protein structure homology-modelling server, accessible via the ExPASy web server",,,,,9834,Nucleic Acids Research,16.6,material/approximately-equal,"homology modelling, webserver"
MoMA-LoopSampler,,https://doi.org/10.1093/bioinformatics/btab584,https://moma.laas.fr/applications/LoopSampler/,,Protein Structure,Loop Modelling,Data Mining,,A web server to exhaustively sample protein loop conformations (online),,,,,6,Bioinformatics,4.4,material/restore,"loop modelling, webserver"
KarmaLoop,https://github.com/karma211225/KarmaLoop,,,https://zenodo.org/records/10046214,Protein Structure,Loop Modelling,,,DL method centered on full-atom (encompassing both backbone and side-chain heavy atoms) protein loop modeling,11,2024-06-09T04:54:34.000Z,7 months ago,,,,,material/restore,loop modelling
AFMassive,https://github.com/GBLille/AFmassive,https://doi.org/10.21203/rs.3.rs-4319486,,,Protein Structure,ML Structure Prediction,General,,,9,2024-12-20T10:03:52.000Z,1 months ago,,0,,,material/timeline-question,protein structure prediction
AlphaFold,,https://doi.org/10.1038/s41586-021-03819-2,,https://alphafold.ebi.ac.uk/,Protein Structure,ML Structure Prediction,General,,"Protein Structure Database (predicted human 3D proteins, July 2021)",,,,,28101,Nature,50.5,material/timeline-question,"protein structure prediction, webserver"
AlphaFold-Multimer,https://github.com/google-deepmind/alphafold,https://doi.org/10.1371/journal.pcbi.1012253,,https://colab.research.google.com/github/deepmind/alphafold/blob/main/notebooks/AlphaFold.ipynb,Protein Structure,ML Structure Prediction,General,,a model that can predict the structure of multi-chain protein complexes with increased accuracy (standalone),,,,,7,PLOS Computational Biology,3.8,material/timeline-question,"protein structure prediction, multimer, quaternary structure"
ColabFold,https://github.com/sokrypton/ColabFold,https://doi.org/10.1038/s41592-022-01488-1,,,Protein Structure,ML Structure Prediction,General,,making protein folding accessible to all (standalone),2149,2025-03-12T14:16:30.000Z,0 months ago,,5926,Nature Methods,36.1,material/timeline-question,protein structure prediction
DMFold,,s41592-023-02130-4,https://zhanggroup.org/DMFold/download/,,Protein Structure,ML Structure Prediction,General,,DMFold standalone package is an integrated program of DeepMSA2 and AlphaFold2 for protein monomer and protein complex structure prediction,,,,,,,,material/timeline-question,"webserver, protein structure prediction"
ESM,https://github.com/facebookresearch/esm,https://doi.org/10.1101/2021.02.12.430858,,,Protein Structure,ML Structure Prediction,General,,Evolutionary Scale Modeling to predict protein 3D structure (standalone) (online),3499,2023-06-27T15:29:55.000Z,19 months ago,,215,,,material/timeline-question,"protein structure prediction, featurizer"
ESMFold,,https://doi.org/10.1126/science.ade2574,,https://esmatlas.com/about,Protein Structure,ML Structure Prediction,General,,ESM Metagenomic Atlas contains several millions of predicted protein structures (can be used via ChimeraX) (online),,,,,1980,Science,44.7,material/timeline-question,"protein structure prediction, webserver"
Evo,https://github.com/evo-design/evo,https://doi.org/10.1126/science.ado9336,,,Protein Structure,ML Structure Prediction,General,,"A long-context foundation model that generalizes across the central dogma of biology: DNA, RNA, and proteins.",1342,2025-02-26T01:43:15.000Z,1 months ago,,37,Science,44.7,material/timeline-question,protein structure prediction
McGuffin Group Web Servers,,,https://www.reading.ac.uk/bioinf/index.html,,Protein Structure,ML Structure Prediction,General,,"This link points to the home page of the McGuffin Group Web Servers at the University of Reading, which provides various bioinformatics tools, although specific details about the tools were not provided.",,,,,,,,material/timeline-question,"protein structure prediction, protein function prediction, quality assessment"
Openfold,https://github.com/aqlaboratory/openfold,https://doi.org/10.1038/s41592-024-02272-z,,,Protein Structure,ML Structure Prediction,General,,A faithful PyTorch reproduction of DeepMind's AlphaFold2 (standalone),2935,2025-02-24T03:36:56.000Z,1 months ago,,69,Nature Methods,36.1,material/timeline-question,protein structure prediction
Raptor-X,https://github.com/AndersJing/RaptorX-Single,https://doi.org/10.5281/zenodo.7351378,,,Protein Structure,ML Structure Prediction,General,,RaptorX-Single: exploring the advantage of single sequence based protein structure prediction,20,2024-05-07T16:10:11.000Z,8 months ago,,0,,,material/timeline-question,protein structure prediction
Robetta,,https://doi.org/10.1093%2Fnar%2Fgkh468,https://robetta.bakerlab.org/,,Protein Structure,ML Structure Prediction,General,,"Robetta offers structure prediction using deep learning methods like RoseTTAFold and TrRosetta. It allows for custom sequence alignments, constraints, local fragments for homology modeling, and can model multi-chain complexes.",,,,,1719,Nucleic Acids Research,16.6,material/timeline-question,"protein structure prediction, webserver, quaternary structure"
RoseTTAFold,https://github.com/RosettaCommons/RoseTTAFold,https://doi.org/10.1126/science.abj8754,,,Protein Structure,ML Structure Prediction,General,,"This package contains deep learning models and scripts for RoseTTAFold, an accurate method for protein structure prediction that includes a 3-track network. It's capable of modeling multi-chain complexes and provides an option for large scale sampling.",2112,2022-01-27T22:30:30.000Z,36 months ago,,3904,Science,44.7,material/timeline-question,"protein structure prediction, quaternary structure"
CombFold,,,,https://lnkd.in/gRVdfaZV,Protein Structure,ML Structure Prediction,Quaternary structure,,a combinatorial and hierarchical assembly algorithm combined with AlphaFold2 for predicting structures of large protein assemblies,,,,,,,,material/timeline-question,"protein structure prediction, multimer, quaternary structure"
DeepComplex,,,http://tulip.rnet.missouri.edu/deepcomplex/web_index.html,,Protein Structure,"ML Structure Prediction, Protein-Protein Docking",Quaternary structure,,"This document has moved, and direct content was not provided in the data fetched, but DeepComplex is aimed at predicting quaternary protein structures.",,,,,,,,material/timeline-question,"protein-protein docking, quaternary structure, protein structure prediction, multimer"
RNAbpFlow,https://github.com/Bhattacharya-Lab/RNAbpFlow,https://doi.org/10.1101/2025.01.24.634669,,,Protein Structure,ML Structure Prediction,RNA,,conditional RNA 3D structure generation,4,2025-01-27T03:06:31.000Z,,,0,,,material/timeline-question,RNA structure prediction
Boltz-1,https://github.com/jwohlwend/boltz?tab=readme-ov-file,https://doi.org/10.1101/2024.11.19.624167,,,Protein Structure,"ML Structure Prediction, Docking","Structure Prediction with Ligand, All-Atom-DL methods",,"Boltz-1 is an open-source model which predicts the 3D structure of proteins, RNA, DNA and small molecules",1638,,0 months ago,,20,,,material/timeline-question,"docking, all-atom-dl method, protein structure prediction"
Chai,https://github.com/chaidiscovery/chai-lab,https://doi.org/10.1101/2024.10.10.615955,,,Protein Structure,ML Structure Prediction,Structure Prediction with Ligand,,Chai-1: Decoding the molecular interactions of life,1574,2025-03-13T21:51:41.000Z,0 months ago,,0,,,material/timeline-question,"protein structure prediction, all-atom-dl method, docking"
DiffusionProteinLigand,https://github.com/shuyana/DiffusionProteinLigand,https://doi.org/10.1186/s12859-023-05354-5,,,Protein Structure,"ML Structure Prediction, Docking","Structure Prediction with Ligand, All-Atom-DL methods",,End-to-end protein�ligand complex structure generation with diffusion-based generative models (standalone).,79,2024-02-26T14:41:45.000Z,10 months ago,,22,BMC Bioinformatics,2.9,material/timeline-question,"docking, all-atom-dl method, protein structure prediction"
DynamicBind,https://github.com/luwei0917/DynamicBind,https://doi.org/10.1038/s41467-024-45461-2,,,Protein Structure,"ML Structure Prediction, Docking","Structure Prediction with Ligand, All-Atom-DL methods",,"DynamicBind recovers ligand-specific conformations from unbound protein structures (e.g. AF2-predicted structures), promoting efficient transitions between different equilibrium states.",227,2024-05-13T09:58:03.000Z,8 months ago,,48,Nature Communications,14.7,material/timeline-question,"docking, all-atom-dl method, protein structure prediction"
NeuralPlexer,https://github.com/zrqiao/NeuralPLexer,https://doi.org/10.1038/s42256-024-00792-z,,,Protein Structure,"ML Structure Prediction, Docking","Structure Prediction with Ligand, All-Atom-DL methods",,a deep generative model to jointly predict protein-ligand complex 3D structures and beyond.,281,2024-04-21T19:10:35.000Z,9 months ago,,47,Nature Machine Intelligence,18.8,material/timeline-question,"docking, all-atom-dl method, protein structure prediction"
RoseTTAFold_AllAtom,https://github.com/AaronFeller/RoseTTAFold-All-Atom/blob/main/README.md,https://doi.org/10.1126/science.adl2528,,,Protein Structure,ML Structure Prediction,Structure Prediction with Ligand,,"biomolecular structure prediction neural network that can predict a broad range of biomolecular assemblies including proteins, nucleic acids, small molecules, covalent modifications and metals as outlined in the RFAA paper.",0,2024-03-06T01:01:14.000Z,10 months ago,,269,Science,44.7,material/timeline-question,"protein structure prediction, docking, all-atom-dl method"
Umol,https://github.com/patrickbryant1/Umol,https://doi.org/10.1038/s41467-024-48837-6,,,Protein Structure,ML Structure Prediction,Structure Prediction with Ligand,,"Umol is designed for protein-ligand structure prediction, representing the protein with a multiple sequence alignment and the ligand as a SMILES string, with versions utilizing protein pocket information recommended.",211,2024-07-27T16:53:10.000Z,5 months ago,,20,Nature Communications,14.7,material/timeline-question,"all-atom-dl method, docking, protein structure prediction"
MemBrain,,,http://www.csbio.sjtu.edu.cn/bioinf/MemBrain/,,Protein Structure,ML Structure Prediction,Trans-membrane Proteins,,The site provides resources related to membrane protein prediction but specific details about the MemBrain tool were not provided.,,,,,,,,material/timeline-question,"trans-membrane protein, webserver, protein structure prediction"
membraneFold,,https://doi.org/10.1101/2022.12.06.518085,https://ku.biolib.com/MembraneFold/,,Protein Structure,ML Structure Prediction,Trans-membrane Proteins,,"This resource is intended for predicting membrane protein structures, but specific details were not provided.",,,,,15,,,material/timeline-question,"trans-membrane protein, protein structure prediction, webserver"
PredMP,,,,http://www.predmp.com/,Protein Structure,ML Structure Prediction,Trans-membrane Proteins,,PredMP is designed for predicting membrane protein types and orientations.,,,,,,,,material/timeline-question,"trans-membrane protein, protein structure prediction"
RosettaGPCR,https://github.com/benderb1/rosettagpcr,https://doi.org/10.1101/2019.12.13.875237,,,Protein Structure,ML Structure Prediction,Trans-membrane Proteins,,"This repository contains methods for generating models of G protein-coupled receptors (GPCRs) using Rosetta, including a database of templates updated through June 2020.",4,2020-07-31T15:00:40.000Z,54 months ago,,2,,,material/timeline-question,"trans-membrane protein, protein structure prediction"
alphaCharges,https://github.com/sb-ncbr/AlphaCharges,https://doi.org/10.1093/nar/gkad349,https://alphacharges.ncbr.muni.cz/,,Protein Structure,Other,Partial Charge Calculation,,?Charges: partial atomic charges for AlphaFold structures in high quality,10,2025-01-27T08:20:53.000Z,1 months ago,,1,Nucleic Acids Research,16.6,material/dots-horizontal,"protein structure, charge, webserver"
GraphSite,https://github.com/shiwentao00/Graphsite,https://doi.org/10.3390/biom12081053,,,Protein Structure,Other,Protein Representation,,"GraphSite is a Python software that generates graph representations of protein binding sites, where each atom becomes a node, and edges represent close proximity, useful for applications based on graph neural networks.",10,2021-12-08T20:45:24.000Z,37 months ago,,14,Biomolecules,4.8,material/dots-horizontal,binding site representation
SCRIBER,,https://doi.org/10.1007/978-1-0716-4196-5_15,http://biomine.cs.vcu.edu/servers/SCRIBER/,,Protein Structure,Protein-binding,,,Prediction of Protein-Binding Residues in Protein Sequences,,,,,0,Methods in Molecular Biology,,material/animation,binding site prediction
DockQ,https://github.com/bjornwallner/DockQ/,https://doi.org/10.1371/journal.pone.0161879,,,Protein Structure,"Protein-Protein Docking, Docking Pose Processing",Quality Assessment,,A Quality Measure for Protein-Protein Docking Models (standalone),252,2025-01-23T12:03:44.000Z,4 months ago,,306,PLOS ONE,2.9,material/set-all,"protein-protein docking, quality assessment"
3D-Garden,,https://doi.org/10.1093/bioinformatics/btn093,http://www.sbg.bio.ic.ac.uk/~3dgarden/,,Protein Structure,Protein-Protein Docking,,,A system for modelling protein-protein complexes based on conformational refinement of ensembles generated with the marching cubes algorithm (online),,,,,54,Bioinformatics,4.4,material/set-all,"protein-protein docking, webserver"
AREA-AFFINITY,,https://doi.org/10.1021/acs.jcim.2c01499,,https://affinity.cuhk.edu.cn/,Protein Structure,Protein-Protein Docking,,,Server for Machine Learning-Based Prediction of Protein-Protein and Antibody-Protein Antigen Binding Affinities (online),,,,,13,Journal of Chemical Information and Modeling,5.6,material/set-all,protein-protein docking
Arpeggio,,https://doi.org/10.1016/j.jmb.2016.12.004,http://biosig.unimelb.edu.au/arpeggioweb/,,Protein Structure,Protein-Protein Docking,,,A webserver for calculating interatomic interactions in protein structures (online & standalone),,,,,379,Journal of Molecular Biology,4.7,material/set-all,"protein-protein docking, webserver"
